bill_name,lobbying_companies,bill_no,date introduced,sponsor,committee,state,party,no_bills_in_state,properties.color,properties.article
"To promote United States leadership in technical standards by directing the National Institute of Standards and Technology and the Department of State to take certain actions to encourage and enable United States participation in developing standards and specifications for artificial intelligence and other critical and emerging technologies, and for other purposes.",,H.R.10281,12/4/2024,"Obernolte, Jay","House - Science, Space, and Technology",California,Republican Party,35,#007281,
"To require the Federal financial agencies to carry out a study and report on standardized descriptions for vendor-provided artificial intelligence systems, and for other purposes.",,H.R.10263,11/26/2024,"Waters, Maxine",House - Financial Services,California,Democratic Party,35,#007281,
AI Act of 2024,"MOTION PICTURE ASSOCIATION INC, BROADCAST MUSIC, INC., AMERICAN MEDICAL ASSOCIATION, NCTA - THE INTERNET & TELEVISION ASSOCIATION, GOOGLE CLIENT SERVICES LLC, UNIVERSITY OF CINCINNATI, EDUCATION REFORM NOW ADVOCACY, AMERICAN COLLEGE OF SURGEONS, HARVARD UNIVERSITY--PRESIDENT AND FELLOWS OF HARVARD COLLEGE, AMPERE COMPUTING EMPLOYER LLC, BOSTON SCIENTIFIC CORPORATION, ASSOCIATION OF AMERICAN MEDICAL COLLEGES, NOVARTIS, TSMC ARIZONA, UNITED STATES BOMB TECHNICIAN ASSOCIATION, DEMOCRACY 21, COPYRIGHT CLEARANCE CENTER, MOTOROLA SOLUTIONS INC, INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, AMERICAN HOSPITAL ASSOCIATION, RECORDING INDUSTRY ASSOCIATION OF AMERICA, SOCIETY FOR INDUSTRIAL AND APPLIED MATHEMATICS, SIERRA CLUB, CROWDSTRIKE, INC., LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, AMERICAN FEDERATION OF MUSICIANS, CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA), INTERNATIONAL TRADEMARK ASSOCIATION, ADOBE SYSTEMS INC., MICROSOFT CORPORATION, NEWS MEDIA ALLIANCE, META PLATFORMS, INC., CALIFORNIA HOSPITAL ASSOCIATION, DIRECTORS GUILD OF AMERICA, AMERICAN CIVIL LIBERTIES UNION, FEDERAL MANAGERS ASSOCIATION, WELLSKY, INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI), BOSTON UNIVERSITY, AMERICAN DENTAL ASSOCIATION, AMERICAN PSYCHIATRIC ASSOCIATION, NATIONAL ASSOCIATION OF CHILDREN'S HOSPITALS (N.A.C.H.), ELEVANCE HEALTH, INC., NETFLIX, INC., AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION, NORTHEASTERN UNIVERSITY, LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS, AMERICAN ASSOCIATION OF INDEPENDENT MUSIC, AMAZON.COM SERVICES LLC, BROADCAST MUSIC INC, ELECTRONIC FRONTIER FOUNDATION, AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, NATIONAL RETAIL FEDERATION, AMERICAN FEDERATION OF TEACHERS, STANFORD UNIVERSITY, CHAMBER OF COMMERCE OF THE U.S.A., FEDERATION OF AMERICAN HOSPITALS, GLOBAL PAYMENTS, INC., AIRBNB, INC., THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY, PUBLIC CITIZEN, KPMG LLP, GEORGIA INSTITUTE OF TECHNOLOGY, UNIVERSITY OF ILLINOIS, AMERICAN SECURITY FUND, DISNEY WORLDWIDE SERVICES INC, SONOSITE, A SUBSIDIARY OF FUJIFILM (FORMERLY SONOSITE, INC.), RECORDING INDUSTRY ASSOCIATION OF AMERICA INC, KYNDRYL INC, CLEAN ENERGY BUYERS ASSOCIATION (FORMERLY RENEWABLE ENERGY BUYERS ALLIANCE), LINKEDIN CORPORATION, OPENAI OPCO, LLC, BUSINESS SOFTWARE ALLIANCE, IVANTI, GPS INNOVATION ALLIANCE, AMERICAN SOCIETY OF COMPOSERS, AUTHORS, AND PUBLISHERS, CHAMBER OF PROGRESS, AARP, SALESFORCE, INC., UNIVERSITY OF CALIFORNIA, PACIFIC GAS AND ELECTRIC COMPANY, PALO ALTO NETWORKS, INC., FOUNDATION FOR INDIVIDUAL RIGHTS AND EXPRESSION (FIRE), VANDERBILT UNIVERSITY, AMERICAN PUBLIC POWER ASSOCIATION, LILT, ORACLE CORPORATION, LENOVO (UNITED STATES) INC., INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), INFORMATION TECHNOLOGY INDUSTRY COUNCIL, TECHNET, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION, LEAGUE OF WOMEN VOTERS OF THE U.S., BSA THE SOFTWARE ALLIANCE (FORMERLY BSA BUSINESS SOFTWARE ALLIANCE INC), COVESTRO LLC, BIOTECHNOLOGY INNOVATION ORGANIZATION, NATIONAL ASSOCIATION OF BROADCASTERS, CTIA-THE WIRELESS ASSOCIATION, NATIONAL TREASURY EMPLOYEES UNION, THE NONPROFIT ALLIANCE, META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES, DELL TECHNOLOGIES INC, ASSOCIATION OF AMERICAN UNIVERSITIES, CONSUMER TECHNOLOGY ASSOCIATION, AMERICAN INTELLECTUAL PROPERTY LAW ASSOCIATION (AIPLA)",H.R.10262,11/26/2024,"Waters, Maxine",House - Financial Services,California,Democratic Party,35,#007281,"Bill Name: AI Act of 2024
Sponsor: Waters, Maxine
Lobbying Companies: MOTION PICTURE ASSOCIATION INC, BROADCAST MUSIC, INC., AMERICAN MEDICAL ASSOCIATION, NCTA - THE INTERNET & TELEVISION ASSOCIATION, GOOGLE CLIENT SERVICES LLC, UNIVERSITY OF CINCINNATI, EDUCATION REFORM NOW ADVOCACY, AMERICAN COLLEGE OF SURGEONS, HARVARD UNIVERSITY--PRESIDENT AND FELLOWS OF HARVARD COLLEGE, AMPERE COMPUTING EMPLOYER LLC, BOSTON SCIENTIFIC CORPORATION, ASSOCIATION OF AMERICAN MEDICAL COLLEGES, NOVARTIS, TSMC ARIZONA, UNITED STATES BOMB TECHNICIAN ASSOCIATION, DEMOCRACY 21, COPYRIGHT CLEARANCE CENTER, MOTOROLA SOLUTIONS INC, INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, AMERICAN HOSPITAL ASSOCIATION, RECORDING INDUSTRY ASSOCIATION OF AMERICA, SOCIETY FOR INDUSTRIAL AND APPLIED MATHEMATICS, SIERRA CLUB, CROWDSTRIKE, INC., LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, AMERICAN FEDERATION OF MUSICIANS, CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA), INTERNATIONAL TRADEMARK ASSOCIATION, ADOBE SYSTEMS INC., MICROSOFT CORPORATION, NEWS MEDIA ALLIANCE, META PLATFORMS, INC., CALIFORNIA HOSPITAL ASSOCIATION, DIRECTORS GUILD OF AMERICA, AMERICAN CIVIL LIBERTIES UNION, FEDERAL MANAGERS ASSOCIATION, WELLSKY, INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI), BOSTON UNIVERSITY, AMERICAN DENTAL ASSOCIATION, AMERICAN PSYCHIATRIC ASSOCIATION, NATIONAL ASSOCIATION OF CHILDREN'S HOSPITALS (N.A.C.H.), ELEVANCE HEALTH, INC., NETFLIX, INC., AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION, NORTHEASTERN UNIVERSITY, LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS, AMERICAN ASSOCIATION OF INDEPENDENT MUSIC, AMAZON.COM SERVICES LLC, BROADCAST MUSIC INC, ELECTRONIC FRONTIER FOUNDATION, AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, NATIONAL RETAIL FEDERATION, AMERICAN FEDERATION OF TEACHERS, STANFORD UNIVERSITY, CHAMBER OF COMMERCE OF THE U.S.A., FEDERATION OF AMERICAN HOSPITALS, GLOBAL PAYMENTS, INC., AIRBNB, INC., THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY, PUBLIC CITIZEN, KPMG LLP, GEORGIA INSTITUTE OF TECHNOLOGY, UNIVERSITY OF ILLINOIS, AMERICAN SECURITY FUND, DISNEY WORLDWIDE SERVICES INC, SONOSITE, A SUBSIDIARY OF FUJIFILM (FORMERLY SONOSITE, INC.), RECORDING INDUSTRY ASSOCIATION OF AMERICA INC, KYNDRYL INC, CLEAN ENERGY BUYERS ASSOCIATION (FORMERLY RENEWABLE ENERGY BUYERS ALLIANCE), LINKEDIN CORPORATION, OPENAI OPCO, LLC, BUSINESS SOFTWARE ALLIANCE, IVANTI, GPS INNOVATION ALLIANCE, AMERICAN SOCIETY OF COMPOSERS, AUTHORS, AND PUBLISHERS, CHAMBER OF PROGRESS, AARP, SALESFORCE, INC., UNIVERSITY OF CALIFORNIA, PACIFIC GAS AND ELECTRIC COMPANY, PALO ALTO NETWORKS, INC., FOUNDATION FOR INDIVIDUAL RIGHTS AND EXPRESSION (FIRE), VANDERBILT UNIVERSITY, AMERICAN PUBLIC POWER ASSOCIATION, LILT, ORACLE CORPORATION, LENOVO (UNITED STATES) INC., INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), INFORMATION TECHNOLOGY INDUSTRY COUNCIL, TECHNET, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION, LEAGUE OF WOMEN VOTERS OF THE U.S., BSA THE SOFTWARE ALLIANCE (FORMERLY BSA BUSINESS SOFTWARE ALLIANCE INC), COVESTRO LLC, BIOTECHNOLOGY INNOVATION ORGANIZATION, NATIONAL ASSOCIATION OF BROADCASTERS, CTIA-THE WIRELESS ASSOCIATION, NATIONAL TREASURY EMPLOYEES UNION, THE NONPROFIT ALLIANCE, META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES, DELL TECHNOLOGIES INC, ASSOCIATION OF AMERICAN UNIVERSITIES, CONSUMER TECHNOLOGY ASSOCIATION, AMERICAN INTELLECTUAL PROPERTY LAW ASSOCIATION (AIPLA)"
Expressing the sense of the House of Representatives with respect to the use of artificial intelligence in the financial services and housing industries.,"AMERICAN PUBLIC TRANSPORTATION ASSOCIATION, NATIONAL TREASURY EMPLOYEES UNION, PARAMOUNT GLOBAL, TREA SENIOR CITIZENS LEAGUE",H.Res.1600,11/26/2024,"McHenry, Patrick T.",House - Financial Services,North Carolina,Republican Party,7,#00AEC5,"Bill Name: Expressing the sense of the House of Representatives with respect to the use of artificial intelligence in the financial services and housing industries.
Sponsor: McHenry, Patrick T.
Lobbying Companies: AMERICAN PUBLIC TRANSPORTATION ASSOCIATION, NATIONAL TREASURY EMPLOYEES UNION, PARAMOUNT GLOBAL, TREA SENIOR CITIZENS LEAGUE"
SCAM Platform Act,"CHAMBER OF COMMERCE OF THE U.S.A, ISSUE ONE",H.R.10212,11/21/2024,"Curtis, John R.",House - Energy and Commerce,Utah,Republican Party,3,#00AEC5,"Bill Name: SCAM Platform Act
Sponsor: Curtis, John R.
Lobbying Companies: CHAMBER OF COMMERCE OF THE U.S.A, ISSUE ONE"
TRAIN Act,,S.5379,11/21/2024,"Welch, Peter",Senate - Judiciary,Vermont,Democratic Party,4,#00AEC5,
AI Fraud Deterrence Act,,H.R.10125,11/14/24,"Lieu, Ted",House - Judiciary,California,Democratic Party,35,#007281,
Ending FCC Meddling in Our Elections Act,,H.R.9913,10/04/24,"Clyde, Andrew S.",House - Energy and Commerce,Georgia,Republican Party,4,#00AEC5,
Next Generation Military Education Act,,H.R.9903,10/01/2024,"Larsen, Rick",House - Armed Services,Washington,Democratic Party,10,#0090A3,
AWARE Act of 2024,,S.5239,09/25/2024,"Welch, Peter",Senate - Armed Services,Vermont,Democratic Party,4,#00AEC5,
MedShield Act of 2024,,S.5222,09/25/2024,"Rounds, Mike","Senate - Health, Education, Labor, and Pensions",South Dakota,Republican Party,10,#0090A3,
Artificial Intelligence Civil Rights Act of 2024,,S.5152,09/24/2024,"Markey, Edward J.","Senate - Commerce, Science, and Transportation",Massachusetts,Democratic Party,8,#00AEC5,
Secure A.I. Act of 2024,"NCTA - THE INTERNET & TELEVISION ASSOCIATION, INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), SALESFORCE, INC.",H.R.9737,09/20/2024,"Ross, Deborah K.","House - Science, Space, and Technology; Homeland Security; Intelligence (Permanent Select); Education and the Workforce",North Carolina,Democratic Party,7,#00AEC5,"Bill Name: Secure A.I. Act of 2024
Sponsor: Ross, Deborah K.
Lobbying Companies: NCTA - THE INTERNET & TELEVISION ASSOCIATION, INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), SALESFORCE, INC."
AI Incident Reporting and Security Enhancement Act,"INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), BSA THE SOFTWARE ALLIANCE (FORMERLY BSA BUSINESS SOFTWARE ALLIANCE INC), BLACKBERRY CORP., CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS, CHAMBER OF COMMERCE OF THE U.S.A., BUSINESS SOFTWARE ALLIANCE",H.R.9720,09/20/2024,"Ross, Deborah K.","House - Science, Space, and Technology",North Carolina,Democratic Party,7,#00AEC5,"Bill Name: AI Incident Reporting and Security Enhancement Act
Sponsor: Ross, Deborah K.
Lobbying Companies: INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), BSA THE SOFTWARE ALLIANCE (FORMERLY BSA BUSINESS SOFTWARE ALLIANCE INC), BLACKBERRY CORP., CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS, CHAMBER OF COMMERCE OF THE U.S.A., BUSINESS SOFTWARE ALLIANCE"
Consumers LEARN AI Act,AARP,H.R.9673,09/19/2024,"Blunt Rochester, Lisa",House - Energy and Commerce,Unknown State,Unknown Party,2,#00CCE7,"Bill Name: Consumers LEARN AI Act
Sponsor: Blunt Rochester, Lisa
Lobbying Companies: AARP"
Modernizing Data Practices to Improve Government Act,"AMERICA'S HEALTH INSURANCE PLANS INC (AHIP), COMMUNITY BANKERS ASSOCIATION OF ILLINOIS, AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, SMALL BUSINESS & ENTREPRENEURSHIP COUNCIL (SBE COUNCIL), NATIONAL TREASURY EMPLOYEES UNION, NATIONAL ASSOCIATION OF FEDERALLY-INSURED CREDIT UNIONS, NCTA - THE INTERNET & TELEVISION ASSOCIATION, MARSHFIELD CLINIC HEALTH SYSTEM",S.5109,09/19/2024,"Peters, Gary C.",Senate - Homeland Security and Governmental Affairs,Michigan,Democratic Party,15,#0090A3,"Bill Name: Modernizing Data Practices to Improve Government Act
Sponsor: Peters, Gary C.
Lobbying Companies: AMERICA'S HEALTH INSURANCE PLANS INC (AHIP), COMMUNITY BANKERS ASSOCIATION OF ILLINOIS, AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, SMALL BUSINESS & ENTREPRENEURSHIP COUNCIL (SBE COUNCIL), NATIONAL TREASURY EMPLOYEES UNION, NATIONAL ASSOCIATION OF FEDERALLY-INSURED CREDIT UNIONS, NCTA - THE INTERNET & TELEVISION ASSOCIATION, MARSHFIELD CLINIC HEALTH SYSTEM"
Department of Energy Artificial Intelligence Act of 2024,"BATTELLE MEMORIAL INSTITUTE, INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), SOCIETY FOR INDUSTRIAL AND APPLIED MATHEMATICS, AMPERE COMPUTING EMPLOYER LLC, UNIVERSITY OF MICHIGAN, UNIVERSITY OF CALIFORNIA, AMERICAN PUBLIC POWER ASSOCIATION, ARM INC, THE UNIVERSITY OF FLORIDA BOARD OF TRUSTEES, AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, NATIONAL GRID USA, UNIVERSITY OF ROCHESTER, LOCKHEED MARTIN CORPORATION, AMERICAN CIVIL LIBERTIES UNION, CHAMBER OF COMMERCE OF THE U.S.A., AMERICAN BAR ASSOCIATION, PACIFIC GAS AND ELECTRIC COMPANY",H.R.9671,09/18/2024,"Williams, Brandon","House - Science, Space, and Technology",New York,Republican Party,13,#0090A3,"Bill Name: Department of Energy Artificial Intelligence Act of 2024
Sponsor: Williams, Brandon
Lobbying Companies: BATTELLE MEMORIAL INSTITUTE, INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), SOCIETY FOR INDUSTRIAL AND APPLIED MATHEMATICS, AMPERE COMPUTING EMPLOYER LLC, UNIVERSITY OF MICHIGAN, UNIVERSITY OF CALIFORNIA, AMERICAN PUBLIC POWER ASSOCIATION, ARM INC, THE UNIVERSITY OF FLORIDA BOARD OF TRUSTEES, AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, NATIONAL GRID USA, UNIVERSITY OF ROCHESTER, LOCKHEED MARTIN CORPORATION, AMERICAN CIVIL LIBERTIES UNION, CHAMBER OF COMMERCE OF THE U.S.A., AMERICAN BAR ASSOCIATION, PACIFIC GAS AND ELECTRIC COMPANY"
AI Ads Act,"INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES, COMMON CAUSE, CHAMBER OF COMMERCE OF THE U.S.A., CAMPAIGN LEGAL CENTER, INC., NATIONAL ASSOCIATION OF BROADCASTERS, META PLATFORMS INC (FKA FACEBOOK), ASSOCIATION OF NATIONAL ADVERTISERS, ISSUE ONE",H.R.9639,09/17/2024,"Schiff, Adam B.",House - House Administration,California,Democratic Party,35,#007281,"Bill Name: AI Ads Act
Sponsor: Schiff, Adam B.
Lobbying Companies: INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES, COMMON CAUSE, CHAMBER OF COMMERCE OF THE U.S.A., CAMPAIGN LEGAL CENTER, INC., NATIONAL ASSOCIATION OF BROADCASTERS, META PLATFORMS INC (FKA FACEBOOK), ASSOCIATION OF NATIONAL ADVERTISERS, ISSUE ONE"
AIxBio Defense Sandbox Act,,H.R.9626,09/17/2024,"Khanna, Ro",House - Armed Services,California,Democratic Party,35,#007281,
Workforce of the Future Act of 2024,,H.R.9607,09/16/2024,"Lee, Barbara","House - Education and the Workforce; Science, Space, and Technology",California,Democratic Party,35,#007281,
AI ACCORD Act of 2024,,S.5058,09/16/24,"Ernst, Joni",Senate - Armed Services,Iowa,Republican Party,3,#00AEC5,
Workforce of the Future Act of 2024,,S.5031,09/12/24,"Butler, Laphonza R.","Senate - Health, Education, Labor, and Pensions",California,Democratic Party,35,#007281,
TAME Extreme Weather Act,,H.R.9498,09/09/24,"Franklin, C. Scott","House - Science, Space, and Technology",Florida,Republican Party,16,#0090A3,
AI Advancement and Reliability Act of 2024,,H.R.9497,09/09/24,"Obernolte, Jay","House - Science, Space, and Technology",California,Republican Party,35,#007281,
AI Grand Challenges Act of 2024,,H.R.9475,09/06/24,"Lieu, Ted","House - Science, Space, and Technology",California,Democratic Party,35,#007281,
AI Development Practices Act of 2024,,H.R.9466,09/06/24,"Baird, James R.","House - Science, Space, and Technology",Indiana,Republican Party,3,#00AEC5,
PATHS Act,,H.R.9459,09/06/2024,"Guest, Michael",House - Homeland Security,Mississippi,Republican Party,1,#00CCE7,
Expanding AI Voices Act,,H.R.9403,08/23/2024,"Foushee, Valerie P.","House - Science, Space, and Technology",North Carolina,Democratic Party,7,#00AEC5,
NSF AI Education Act of 2024,,H.R.9402,08/23/24,"Fong, Vince","House - Science, Space, and Technology",California,Republican Party,35,#007281,
Unleashing AI Innovation in Financial Services Act,,H.R.9309,08/06/24,"Hill, J. French",House - Financial Services,Arkansas,Republican Party,1,#00CCE7,
Artificial Intelligence Acquisitions Act of 2024,,S.4976,08/01/24,"Rubio, Marco","Senate - Commerce, Science, and Transportation",Florida,Republican Party,16,#0090A3,
Unleashing AI Innovation in Financial Services Act,,S.4951,08/01/2024,"Rounds, Mike","Senate - Banking, Housing, and Urban Affairs",South Dakota,Republican Party,10,#0090A3,
AI Innovation and Development for Efficiency Act of 2024,"AMERICAN PUBLIC POWER ASSOCIATION, PACIFIC GAS AND ELECTRIC COMPANY",S.4896,07/31/2024,"Welch, Peter","Senate - Commerce, Science, and Transportation",Vermont,Democratic Party,4,#00AEC5,"Bill Name: AI Innovation and Development for Efficiency Act of 2024
Sponsor: Welch, Peter
Lobbying Companies: AMERICAN PUBLIC POWER ASSOCIATION, PACIFIC GAS AND ELECTRIC COMPANY"
Workforce for AI Trust Act,"INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), INFORMATION TECHNOLOGY INDUSTRY COUNCIL, TECHNET, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA), NATIONAL TREASURY EMPLOYEES UNION, SOCIETY FOR INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY, HUMAN FACTORS AND ERGONOMICS SOCIETY, CHAMBER OF COMMERCE OF THE U.S.A., GOOGLE CLIENT SERVICES LLC, BOOZ ALLEN HAMILTON INC.",H.R.9215,07/30/2024,"Lofgren, Zoe","House - Science, Space, and Technology",California,Democratic Party,35,#007281,"Bill Name: Workforce for AI Trust Act
Sponsor: Lofgren, Zoe
Lobbying Companies: INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), INFORMATION TECHNOLOGY INDUSTRY COUNCIL, TECHNET, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA), NATIONAL TREASURY EMPLOYEES UNION, SOCIETY FOR INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY, HUMAN FACTORS AND ERGONOMICS SOCIETY, CHAMBER OF COMMERCE OF THE U.S.A., GOOGLE CLIENT SERVICES LLC, BOOZ ALLEN HAMILTON INC."
LIFT AI Act,"INFORMATION TECHNOLOGY INDUSTRY COUNCIL, INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), TECHNET, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA), EDUCATION REFORM NOW ADVOCACY, GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES), AMERICAN FEDERATION OF TEACHERS, CHAMBER OF COMMERCE OF THE U.S.A., GOOGLE CLIENT SERVICES LLC",H.R.9211,07/30/2024,"Kean, Thomas H.","House - Science, Space, and Technology",New Jersey,Republican Party,6,#00AEC5,"Bill Name: LIFT AI Act
Sponsor: Kean, Thomas H.
Lobbying Companies: INFORMATION TECHNOLOGY INDUSTRY COUNCIL, INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), TECHNET, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA), EDUCATION REFORM NOW ADVOCACY, GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES), AMERICAN FEDERATION OF TEACHERS, CHAMBER OF COMMERCE OF THE U.S.A., GOOGLE CLIENT SERVICES LLC"
Small Business Artificial Intelligence Advancement Act,"TECHNET, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA), LEAGUE OF WOMEN VOTERS OF THE U.S., CAMPAIGN LEGAL CENTER, INC., CHAMBER OF COMMERCE OF THE U.S.A., DELL TECHNOLOGIES, INC., NCTA - THE INTERNET & TELEVISION ASSOCIATION, GOOGLE CLIENT SERVICES LLC",H.R.9197,07/30/2024,"Collins, Mike","House - Science, Space, and Technology",Georgia,Republican Party,4,#00AEC5,"Bill Name: Small Business Artificial Intelligence Advancement Act
Sponsor: Collins, Mike
Lobbying Companies: TECHNET, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA), LEAGUE OF WOMEN VOTERS OF THE U.S., CAMPAIGN LEGAL CENTER, INC., CHAMBER OF COMMERCE OF THE U.S.A., DELL TECHNOLOGIES, INC., NCTA - THE INTERNET & TELEVISION ASSOCIATION, GOOGLE CLIENT SERVICES LLC"
A bill to require reports on artificial intelligence regulation in the financial services industry.,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,S.4870,07/30/2024,"Rounds, Mike","Senate - Banking, Housing, and Urban Affairs",South Dakota,Republican Party,10,#0090A3,"Bill Name: A bill to require reports on artificial intelligence regulation in the financial services industry.
Sponsor: Rounds, Mike
Lobbying Companies: NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES"
"A bill to ensure that new advances in artificial intelligence are ethically adopted to improve the health of all individuals, and for other purposes.","ATHENAHEALTH, INC.",S.4862,07/30/2024,"Rounds, Mike","Senate - Health, Education, Labor, and Pensions",South Dakota,Republican Party,10,#0090A3,"Bill Name: A bill to ensure that new advances in artificial intelligence are ethically adopted to improve the health of all individuals, and for other purposes.
Sponsor: Rounds, Mike
Lobbying Companies: ATHENAHEALTH, INC."
Ending FCC Meddling in Our Elections Act,,S.4853,07/30/2024,"Lee, Mike",Latest Action: Senate - 07/31/2024 Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 449. (All Actions),Utah,Republican Party,3,#00AEC5,
Consumers LEARN AI Act,AARP,S.4838,07/30/2024,"Kelly, Mark","Senate - Commerce, Science, and Transportation",Arizona,Democratic Party,7,#00AEC5,"Bill Name: Consumers LEARN AI Act
Sponsor: Kelly, Mark
Lobbying Companies: AARP"
VET Artificial Intelligence Act,"CHAMBER OF PROGRESS, PWC US GROUP LLP (FKA PRICEWATERHOUSECOOPERS), CTIA-THE WIRELESS ASSOCIATION, ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG), LINKEDIN CORPORATION, AMERICAN LEGION, CHAMBER OF COMMERCE OF THE U.S.A., INSTITUTE OF INTERNAL AUDITORS, GOOGLE CLIENT SERVICES LLC, BOOZ ALLEN HAMILTON INC.",S.4769,07/24/2024,"Hickenlooper, John W.","Senate - Commerce, Science, and Transportation",Colorado,Democratic Party,4,#00AEC5,"Bill Name: VET Artificial Intelligence Act
Sponsor: Hickenlooper, John W.
Lobbying Companies: CHAMBER OF PROGRESS, PWC US GROUP LLP (FKA PRICEWATERHOUSECOOPERS), CTIA-THE WIRELESS ASSOCIATION, ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG), LINKEDIN CORPORATION, AMERICAN LEGION, CHAMBER OF COMMERCE OF THE U.S.A., INSTITUTE OF INTERNAL AUDITORS, GOOGLE CLIENT SERVICES LLC, BOOZ ALLEN HAMILTON INC."
"A bill to require the Secretary of Defense to carry out a pilot program on using artificial intelligence-enabled software to optimize the workflow and operations of depots, shipyards, and other manufacturing facilities run by the Department of Defense, and for other purposes.",,S.4758,07/24/2024,"Rounds, Mike",Senate - Armed Services,South Dakota,Republican Party,10,#0090A3,
"To provide for citizen engagement on the development and adoption of Federal civilian agency use of artificial intelligence, and for other purposes.",,H.R.9044,07/15/2024,"Jackson Lee, Sheila",House - Oversight and Accountability; Homeland Security,Texas,Democratic Party,13,#0090A3,
"To provide for Federal civilian agency laboratory development for testing and certification of artificial intelligence for civilian agency use, and for other purposes.",,H.R.9043,07/15/2024,"Jackson Lee, Sheila",House - Homeland Security; Oversight and Accountability,Texas,Democratic Party,13,#0090A3,
Civilian Agency AI Watermark Act,,H.R.9042,07/15/24,"Jackson Lee, Sheila",House - Homeland Security,Texas,Democratic Party,13,#0090A3,
Fraudulent Artificial Intelligence Regulations (FAIR) Elections Act of 2024,,S.4714,07/11/24,"Merkley, Jeff",Senate - Rules and Administration,Oregon,Democratic Party,2,#00CCE7,
Department of Energy AI Act,,S.4664,07/10/24,"Manchin, Joe, III",Senate - Energy and Natural Resources,West Virginia,Unknown Party,3,#00AEC5,
"To amend the Communications Act of 1934 to establish technical and procedural standards for artificial or prerecorded voice systems created through generative artificial intelligence, and for other purposes.",,H.R.8939,07/08/2024,"Allen, Rick W.",House - Energy and Commerce,Georgia,Republican Party,4,#00AEC5,
